place_id,name,address,phone,international_phone,website,rating,total_ratings,business_status,types,latitude,longitude,found_in_keywords,found_in_countries,source_country,is_open_now,hours
ChIJ3V056dsvw0cRP4GHBCKVmoQ,Army at Home,"Kazernestraat 3, 8930 Menen, Belgium",0471 02 79 51,+32 471 02 79 51,https://www.armyathome.be/,5.0,2,OPERATIONAL,"establishment, point_of_interest, store",50.798601,3.120975,military collectibles,belgium,belgium,,
ChIJi0cVG68DdEcRgM2g7mzSxmg,Strasser kauft,"Hackerweg 24, 4863 Steindorf, Austria",0676 4115133,+43 676 4115133,http://www.strasser-kauft.at/,5.0,5,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",47.9620413,13.567558,"Militaria Shop, Militär Sammler, military antiques, military collectibles",austria,austria,,
ChIJC2O4NPa_3EcRqHDyasvRPLE,Militaria Trading Platform,"Dorp 1, 8690 Alveringem, Belgium",0472 53 62 64,+32 472 53 62 64,https://www.buyandsellmilitaria.com/en,5.0,3,OPERATIONAL,"clothing_store, establishment, home_goods_store, point_of_interest, store",51.0115157,2.7104225,"army surplus, military antiques, military collectibles",belgium,belgium,True,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours
ChIJE4lqYfPEw0cRVwzxqorhmLk,Fraternelle Agents Parachutistes 1940-45,"Rue du Châtelain 46, 1050 Ixelles, Belgium",0475 48 25 44,+32 475 48 25 44,http://www.fratap.be/,5.0,25,OPERATIONAL,"establishment, museum, point_of_interest",50.8251852,4.3616075,military history club,belgium,belgium,,
ChIJTWsxjKMJxEcR9HSpoHgwOGI,Tin Soldiers Of Antwerp,"Leugenberg, 2180 Antwerp, Belgium",,,http://www.tsoa.be/,5.0,23,OPERATIONAL,"establishment, point_of_interest",51.2992758,4.4099315,military history club,belgium,belgium,,
ChIJ4UcYLQBnv0cRQeQJkGgMnjA,Living History Reenactment: Kriegsende in Schevenhütte von 80 Jahre,"Nideggener Str. 150, 52224 Stolberg, Germany",,,,5.0,1,OPERATIONAL,"establishment, point_of_interest",50.7585326,6.3347088,"historical reenactment, historische re-enactment","belgium, netherlands",belgium,,
ChIJ9VllcqK11okRiApf-tcz7F0,Military History Society of Rochester,"250 N Goodman St 2nd Floor, 201, Rochester, NY 14607, USA",(585) 730-4041,+1 585-730-4041,https://www.rochestermilitary.com/,5.0,20,OPERATIONAL,"establishment, museum, point_of_interest",43.15817500000001,-77.5846069,military history club,"belgium, germany, italy, poland, spain, switzerland, united",belgium,False,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 12:00 – 4:00 PM | Friday: 12:00 – 4:00 PM | Saturday: 12:00 – 4:00 PM | Sunday: Closed
ChIJhQHd5qu1b0cR0vW03XTQ8aI,Austrian Aviation Museum,"Thalerhofstraße 52, 8073 Feldkirchen bei Graz, Austria",,,,5.0,1,OPERATIONAL,"establishment, museum, point_of_interest",46.9867581,15.4479354,aviation museum,"austria, croatia, slovenia",austria,,
ChIJcxXxJx0XdEcRMuZOOvB7E9E,Polizei & Militärmuseum Lohnsburg,"Kirchengasse 33, 4923 Lohnsburg am Kobernaußerwald, Austria",0660 7667373,+43 660 7667373,https://www.oberoesterreich.at/oesterreich-poi/detail/430000057/polizei-und-militaermuseum-lohnsburg.html,5.0,7,OPERATIONAL,"establishment, museum, point_of_interest",48.1448913,13.4057813,"Militärhistorischer Verein, military equipment museum, military vehicle museum",austria,austria,,
ChIJB9dFH08HbUcR8wPo5mKkF48,Gelegenheitsschwemme,"Berggasse 3, 1090 Wien, Austria",,,,5.0,12,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",48.2174261,16.3595373,army surplus,austria,austria,False,Monday: 10:00 AM – 1:00 PM | Tuesday: 10:00 AM – 1:00 PM | Wednesday: 3:00 – 6:30 PM | Thursday: 3:00 – 6:30 PM | Friday: 10:00 AM – 1:00 PM | Saturday: 10:00 AM – 1:00 PM | Sunday: Closed
ChIJU0jyT7OVdkcRuaZyrH3TsYc,Army Shop Austria,"Unterer Markt 13, 5400 Hallein, Austria",0660 2974391,+43 660 2974391,https://www.army-shop-austria.at/,5.0,12,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",47.681641,13.0937686,"Militaria Shop, army surplus",austria,austria,False,"Monday: 9:00 AM – 12:00 PM, 2:00 – 6:00 PM | Tuesday: 9:00 AM – 12:00 PM, 2:00 – 6:00 PM | Wednesday: 9:00 AM – 12:00 PM, 2:00 – 6:00 PM | Thursday: 9:00 AM – 12:00 PM, 2:00 – 6:00 PM | Friday: 9:00 AM – 12:00 PM, 2:00 – 6:00 PM | Saturday: 9:00 AM – 12:00 PM | Sunday: Closed"
ChIJHcID82DjckcRyGzLk6_Hzvs,J.Blaschke Wehrtechnik GmbH,"Kreuzberg 256, 3920 Groß Gerungs, Austria",01 810090933,+43 1 810090933,http://www.blaschke.com/,5.0,1,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",48.5705329,14.9589144,army surplus,austria,austria,,
ChIJdfiEqM97w0cRQ5wbMxWaC04,Militaria Belgium,"Dorp 3, 8690 Alveringem, Belgium",0472 53 62 64,+32 472 53 62 64,http://www.militaria-belgium.be/,5.0,26,OPERATIONAL,"clothing_store, establishment, home_goods_store, point_of_interest, store",51.0115478,2.7104655,"Soviet memorabilia, army surplus, military antiques, military collectibles",belgium,belgium,False,"Monday: 10:00 AM – 12:00 PM, 2:00 – 6:00 PM | Tuesday: 10:00 AM – 12:00 PM, 2:00 – 6:00 PM | Wednesday: Closed | Thursday: 10:00 AM – 12:00 PM, 2:00 – 6:00 PM | Friday: 10:00 AM – 12:00 PM, 2:00 – 6:00 PM | Saturday: 10:00 AM – 12:00 PM, 2:00 – 6:00 PM | Sunday: 10:00 AM – 12:00 PM"
ChIJVVXpdvDJb0cRt9lM5LPCmQE,Militaria Antik,"Zwaring AT, Liebochstraße 4, 8143 Dobl, Austria",0664 2100180,+43 664 2100180,https://www.militaria-antik.at/,5.0,5,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",46.9545495,15.3668079,"Militaria Shop, Militär Sammler, military antiques, military collectibles",austria,austria,True,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours
ChIJl3YR9Z83ckcRgQFi4Hug4Co,LupusTac,"Gunnersdorfer Str. 43, 3363 Neufurth, Austria",0660 4001198,+43 660 4001198,http://lupus-tac.com/,5.0,56,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",48.0744282,14.804056,army surplus,austria,austria,False,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 1:30 – 7:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: Closed
ChIJ10wuwzBCckcRu3pEJhjtsSk,Military - Partner Geissberger Alois,"Reidl 1, 3254 Bergland, Austria",07412 532310,+43 7412 532310,http://www.militarypartner.com/Impressum/,5.0,42,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",48.1380529,15.0979178,"Militaria Shop, army surplus, military collectibles",austria,austria,False,"Monday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM | Tuesday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM | Wednesday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM | Thursday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM | Friday: 9:00 AM – 12:00 PM, 1:00 – 5:00 PM | Saturday: 9:00 AM – 12:00 PM | Sunday: Closed"
ChIJ7RokSJdbTVMR2ZeaATBUxS8,National Museum of Military Vehicles,"6419 US-26, Dubois, WY 82513, USA",(307) 455-3802,+1 307-455-3802,https://nmmv.org/,5.0,1421,OPERATIONAL,"establishment, museum, point_of_interest",43.4723537,-109.4957962,"Korean War museum, Vietnam War museum, military equipment museum, military vehicle museum","austria, belgium, croatia, czech, finland, france, germany, hungary, italy, netherlands, poland, serbia, slovakia, spain, sweden, switzerland, united",austria,False,Monday: Closed | Tuesday: Closed | Wednesday: 9:30 AM – 5:00 PM | Thursday: 9:30 AM – 5:00 PM | Friday: 9:30 AM – 5:00 PM | Saturday: 9:30 AM – 5:00 PM | Sunday: 9:30 AM – 5:00 PM
ChIJs3cY4zaxbUcR0pToVyPgc2g,Austrian Aviation Museum,"Flugpl. 1/Top 1, 2542 Kottingbrunn, Austria",0664 3017899,+43 664 3017899,http://www.austrian-aviation-museum.com/,4.9,22,OPERATIONAL,"establishment, museum, point_of_interest, tourist_attraction",47.967585,16.2601474,"aviation museum, military equipment museum, war museum",austria,austria,,
ChIJi32nvqr9wEcRt4GfJAbM6Rs,"Musée de la Fraternelle de la base militaire de Bierset ""The White Bison""","Rue de Velroux, 4460 Grâce-Hollogne, Belgium",0478 60 16 60,+32 478 60 16 60,http://www.whitebison.be/,4.9,9,OPERATIONAL,"establishment, museum, point_of_interest",50.65029699999999,5.4369149,"army museum, militair historisch museum, military equipment museum, military vehicle museum",belgium,belgium,False,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 10:00 AM – 5:00 PM | Friday: Closed | Saturday: Closed | Sunday: Closed
ChIJ8b09oMo_wUcRRAod_4_30z4,Museum slag der zilveren helmen,"Rotemstraat 14, 3545 Halen, Belgium",013 44 10 14,+32 13 44 10 14,http://www.slagderzilverenhelmen.be/,4.9,14,OPERATIONAL,"establishment, museum, point_of_interest",50.9272254,5.0919228,"army museum, militair historisch museum",belgium,belgium,False,Monday: Closed | Tuesday: Closed | Wednesday: 2:00 – 5:00 PM | Thursday: 2:00 – 5:00 PM | Friday: 2:00 – 5:00 PM | Saturday: 2:00 – 5:00 PM | Sunday: 2:00 – 5:00 PM
ChIJfUILoYYHbUcRDIuXDopd5j4,Third Man Museum,"Preßgasse 25, 1040 Wien, Austria",0676 4757818,+43 676 4757818,https://www.3mpc.net/,4.9,323,OPERATIONAL,"establishment, museum, point_of_interest, tourist_attraction",48.1960993,16.3624638,"Eastern Front museum, Korean War museum, WWII museum, World War 2 museum, Zweiter Weltkrieg Museum",austria,austria,False,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: 2:00 – 6:00 PM | Sunday: Closed
ChIJpzAyJjzwwIcRXzXcqOrhTJE,National WWI Museum and Memorial,"2 Memorial Dr, Kansas City, MO 64108, USA",(816) 888-8100,+1 816-888-8100,https://www.theworldwar.org/,4.9,8420,OPERATIONAL,"establishment, museum, point_of_interest, tourist_attraction",39.080663,-94.5860835,"Afghan War museum, Cold War museum, Eastern Front museum, Korean War museum","austria, france, italy, romania, slovenia",austria,False,Monday: 10:00 AM – 5:00 PM | Tuesday: Closed | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM
ChIJkdwNqtKwxkcRBflWSQ1nQy8,Re-enactmentshop,"Peelsestraat 28c, 2380 Ravels, Belgium",014 43 57 35,+32 14 43 57 35,http://www.re-enactmentshop.com/,4.9,62,OPERATIONAL,"establishment, point_of_interest, store",51.3777789,5.006181799999999,"historische re-enactment, military collectibles, military reenactment","belgium, netherlands",belgium,False,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 9:00 AM – 1:00 PM | Saturday: 9:00 AM – 1:00 PM | Sunday: Closed
ChIJTUPoCxPLbUcRw4Ln9od_W8o,Familie Fehrs Oldtimer Museum,"Stadionstraße 36a, 2700 Wiener Neustadt, Austria",02622 28411,+43 2622 28411,http://www.fehrsclassiccars.at/,4.9,63,OPERATIONAL,"establishment, museum, point_of_interest",47.8283022,16.2511688,military equipment museum,austria,austria,False,Monday: 11:00 AM – 7:00 PM | Tuesday: 11:00 AM – 7:00 PM | Wednesday: 11:00 AM – 7:00 PM | Thursday: 11:00 AM – 7:00 PM | Friday: 11:00 AM – 7:00 PM | Saturday: 11:00 AM – 7:00 PM | Sunday: 11:00 AM – 7:00 PM
ChIJj-1JBLJWcUcR6cv3nBiPEG4,Zeitgeschichte Museum Ebensee,"Kirchengasse 5, 4802 Ebensee, Austria",06133 56010,+43 6133 56010,http://memorial-ebensee.at/,4.9,10,OPERATIONAL,"establishment, museum, point_of_interest",47.8132908,13.7717451,Eastern Front museum,austria,austria,False,Monday: Closed | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed
ChIJh4rhP5qdbUcRgXOtjegcT7I,eitle Kinderkram Neulengbach (Museum und Spielparadies),"Grillenhofstraße 22, 3040 Neulengbach, Austria",0664 5115511,+43 664 5115511,https://kinderkram.eitle.at/,4.9,89,OPERATIONAL,"establishment, museum, point_of_interest",48.2035524,15.9196079,military equipment museum,austria,austria,False,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: 1:00 – 5:00 PM | Sunday: 1:00 – 5:00 PM
ChIJNdjLjBfGc0cRIah4QrG1JaE,TMH Trading GmbH,"Ennser Str. 39, 4407 Steyr, Austria",07252 50900,+43 7252 50900,https://tmhtrading.com/,4.9,69,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",48.0688751,14.4200844,"Militaria Shop, army surplus, military collectibles",austria,austria,,
ChIJHV42-AcHbUcRuYybBjZdNVQ,Victorinox Store Wien,"Herrengasse 1-3/Shop 3, 1010 Wien, Austria",01 3774757,+43 1 3774757,https://www.victorinox.com/cms/Victorinox-Store-Wien/cms/store-wien,4.9,328,OPERATIONAL,"clothing_store, establishment, home_goods_store, point_of_interest, store",48.2083695,16.3662261,army surplus,austria,austria,False,Monday: 10:00 AM – 7:00 PM | Tuesday: 10:00 AM – 7:00 PM | Wednesday: 10:00 AM – 7:00 PM | Thursday: 10:00 AM – 7:00 PM | Friday: 10:00 AM – 7:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 11:00 AM – 4:00 PM
ChIJt5wv9gsAcEcReQFnN36OYKE,Peršmanhof,"Koprein-Petzen 3, 9135 Bad Eisenkappel, Austria",04238 25060,+43 4238 25060,http://www.persman.at/,4.9,82,OPERATIONAL,"establishment, museum, point_of_interest, tourist_attraction",46.504634,14.68622,"WWII museum, World War 2 museum",austria,austria,False,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM
ChIJJWXRyEjhbEcRdSPmtENvZaE,Traditionsverband Heereskraftfahrwesen,"Viertlerweg 5, 2242 Prottes, Austria",,,http://www.hkfw.at/,4.9,25,OPERATIONAL,"establishment, museum, point_of_interest",48.3910418,16.7354121,"Militärhistorischer Verein, military vehicle museum",austria,austria,,
ChIJWd4oHgCSwEcRqclPNQUh5GU,Henri-Chapelle American Cemetery and Memorial,"Rue du Mémorial Américain 159, 4852 Plombières, Belgium",087 68 71 73,+32 87 68 71 73,http://www.abmc.gov/cemeteries-memorials/europe/henri-chapelle-american-cemetery,4.9,480,OPERATIONAL,"cemetery, church, establishment, park, place_of_worship, point_of_interest, tourist_attraction",50.6973789,5.901069199999999,military history club,belgium,belgium,False,Monday: 9:00 AM – 4:45 PM | Tuesday: 9:00 AM – 4:45 PM | Wednesday: 9:00 AM – 4:45 PM | Thursday: 9:00 AM – 4:45 PM | Friday: 9:00 AM – 4:45 PM | Saturday: 9:00 AM – 4:45 PM | Sunday: 9:00 AM – 4:45 PM
ChIJm0xCG6lsm0cR1Cwj37SXi-c,Lehmann Army & Survival Shop Hard,"Hofsteigstraße 92, 6971 Hard, Austria",05574 71789,+43 5574 71789,https://ha-lehmann.at/,4.9,491,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",47.488971,9.70424,"Militaria Shop, army surplus, military collectibles","austria, switzerland",austria,False,"Monday: 9:00 AM – 12:00 PM, 1:00 – 6:00 PM | Tuesday: 9:00 AM – 12:00 PM, 1:00 – 6:00 PM | Wednesday: 9:00 AM – 12:00 PM, 1:00 – 6:00 PM | Thursday: 9:00 AM – 12:00 PM, 1:00 – 6:00 PM | Friday: 9:00 AM – 12:00 PM, 1:00 – 6:00 PM | Saturday: 9:00 AM – 2:00 PM | Sunday: Closed"
ChIJnQAHwZAHbUcRycXUTr8uocQ,Museum of Natural History Vienna,"Burgring 7, 1010 Wien, Austria",01 521770,+43 1 521770,https://www.nhm.at/,4.8,40199,OPERATIONAL,"establishment, museum, point_of_interest, tourist_attraction",48.205212,16.3598451,"Afghan War museum, Eastern Front museum, Korean War museum, Vietnam War museum, Zweiter Weltkrieg Museum, military equipment museum, war museum",austria,austria,False,Monday: 9:00 AM – 6:00 PM | Tuesday: Closed | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM
ChIJz4V32YXVwkcRs22C_ixNxoM,The 7th Company - Shop and Military Surplus Equipment,"11 Rue Jean Sans Peur, 59000 Lille, France",03 20 54 39 63,+33 3 20 54 39 63,http://www.7eme-compagnie.com/,4.8,626,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",50.633743,3.060686,"army surplus, matériel militaire","belgium, france",belgium,False,"Monday: Closed | Tuesday: 10:00 AM – 12:30 PM, 2:00 – 6:30 PM | Wednesday: 2:00 – 6:30 PM | Thursday: 10:30 AM – 12:30 PM, 2:00 – 6:30 PM | Friday: 10:00 AM – 12:30 PM, 2:00 – 6:30 PM | Saturday: 10:00 AM – 12:30 PM, 2:00 – 7:00 PM | Sunday: Closed"
ChIJmZmarAMDwUcRj_5MrMitHLY,Belgian Historical Reconstitution Group 3rd Armored Division Spearhead Asbl,"Rue de Hodeige 3, 4350 Remicourt, Belgium",019 54 50 40,+32 19 54 50 40,http://www.spearhead.be/,4.8,5,OPERATIONAL,"establishment, point_of_interest",50.6895748,5.3353314,military history club,belgium,belgium,,
