city,country,country_code,email,facebook,google_business_categories,google_maps_url,instagram,linkedin,name,opening_date,phone_number,review_score,reviews_number,source_category,source_country,street,url
Kiama NSW 2533,,AU,info@o2bcool.com.au,https://www.facebook.com/o2bcool/,air_conditioning_contractor|air_conditioning_repair_service|air_conditioning_store|air_conditioning_system_supplier|commercial_refrigerator_supplier|hvac_contractor|refrigerated_transport_service|refrigerator_repair_service|repair_service,https://www.google.com/maps?cid=3435718460440639628,NA,NA,O2B Cool Refrigeration & Air Conditioning ; Installation,,+61 403 289 502,4.6,9,hvac_contractor,Australia,11 Brown St,http://www.o2bcool.com.au/
Port Macquarie NSW 2444,,AU,sales@lawsonair.com.au,https://www.facebook.com/LawsonAir,air_conditioning_contractor|air_conditioning_repair_service|air_conditioning_store|air_conditioning_system_supplier|heating_equipment_supplier|hvac_contractor,https://www.google.com/maps?cid=5501619107435102068,https://www.instagram.com/lawsonair/,,Lawson Air Conditioning - Port Macquarie,,+61 2 6581 2420,,,hvac_contractor,Australia,Unit 6/51 Jindalee Rd,https://www.lawsonair.com.au/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB_PORT_LOC
Calderwood NSW 2574,,AU,info@deaircon.com.au,https://www.facebook.com/deairconditioning,air_conditioning_contractor|air_conditioning_repair_service|air_conditioning_system_supplier|establishment_service|hvac_contractor,https://www.google.com/maps?cid=17073675173383827672,https://www.instagram.com/deaircon/,NA,DE Air Conditioning Services,,+61 459 298 331,4.9,96,hvac_contractor,Australia,,https://www.deaircon.com.au/
Unanderra NSW 2526,,AU,service@axisair.com.au,https://www.facebook.com/axisair.com.au,air_conditioning_contractor|air_conditioning_repair_service|air_conditioning_system_supplier|hvac_contractor,https://www.google.com/maps?cid=10798167989288211007,NA,https://www.linkedin.com/in/adam-stephens-42896464/,Axis Align,,+61 2 4237 8888,5,5,hvac_contractor,Australia,Unit 3/7 Investigator Dr,http://www.axisalign.com.au/
Calderwood NSW 2574,,AU,u003econtact@seabreeze.net.au,NA,air_conditioning_contractor|air_conditioning_repair_service|air_duct_cleaning_service|establishment_service|hvac_contractor,https://www.google.com/maps?cid=86096773003550167,NA,NA,Seabreeze Air Conditioning: Wollongong,,+61 417 290 518,4.9,22,hvac_contractor,Australia,,https://seabreeze.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Mangerton NSW 2525,,AU,rspairconditioning@gmail.com,NA,air_conditioning_contractor|air_conditioning_system_supplier|establishment_service|hvac_contractor,https://www.google.com/maps?cid=542320970495621274,NA,NA,RSP AIR Conditioning,,+61 403 179 322,5,35,hvac_contractor,Australia,,http://rspairconditioning.com.au/
Cleve SA 5602,,AU,service@aironeyre.com.au,https://www.facebook.com/386617007865742,air_conditioning_contractor|establishment_service|hvac_contractor|refrigerator_repair_service,https://www.google.com/maps?cid=12866003798062970663,https://www.instagram.com/aironeyre/,,Air on Eyre,,+61 491 226 778,5,9,hvac_contractor,Australia,,https://aironeyre.com.au/
Port Melbourne VIC 3207,,AU,info@autobt.com.au,,air_conditioning_store|hvac_contractor,https://www.google.com/maps?cid=5292637664974674523,,,Automated Building Technology (ABT),,+61 3 9681 8188,5,4,hvac_contractor,Australia,3/73 Wharf Rd,http://autobt.com.au/
Canowindra NSW 2804,,AU,todd@breezeelectricalservices.com.au,https://www.facebook.com/489472654251901,electrician|air_conditioning_contractor|establishment_service|hvac_contractor,https://www.google.com/maps?cid=8339541883520679432,https://www.instagram.com/breeze_electrical_services,,Breeze Electrical Services,,+61 458 586 828,5,4,hvac_contractor,Australia,,https://breezeelectricalservices.com.au/
Yass NSW 2582,,AU,joshua@highlandacr.com,https://www.facebook.com/Highland-ACR-107646324310517/,hvac_contractor,https://www.google.com/maps?cid=15170368593494148976,https://www.instagram.com/highlandacandr/,,Highland AC&R,,+61 405 205 053,5,11,hvac_contractor,Australia,25 Merriman Dr,https://www.highlandacr.com/
Hawthorn East VIC 3123,,AU,Service.Vic@aesmith.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=6813938434319603092,NA,NA,AE Smith,,+61 1300 313 313,,,hvac_contractor,Australia,26 Cato St,https://aesmith.com.au/ae-smith/
Clayton South VIC 3169,,AU,mail@cfmairsystems.com.au,https://www.facebook.com/860714642735260/posts/912172870922770,hvac_contractor,https://www.google.com/maps?cid=6183370141343993481,https://www.instagram.com/cfmairsystems/,NA,CFM Airsystems,,+61 3 9551 4878,4.2,20,hvac_contractor,Australia,106 Fairbank Rd,http://www.cfmairsystems.com.au/
Oakleigh South VIC 3167,,AU,info@blygold.com,NA,hvac_contractor,https://www.google.com/maps?cid=17124619500525216268,NA,https://www.linkedin.com/company/blygold/,Blygold Victoria,,+61 3 9544 6754,5,1,hvac_contractor,Australia,25 Fulton St,https://www.blygold.com/
Bentleigh East VIC 3165,,AU,Comfyair@gmail.com,NA,hvac_contractor,https://www.google.com/maps?cid=1791907477188660720,NA,NA,ComfyAir Heating & Cooling Services,,+61 425 721 646,3.6,14,hvac_contractor,Australia,41 Blamey St,http://comfyairservices.com.au/
Bayswater VIC 3153,,AU,eben@eyebytes.com,NA,hvac_contractor,https://www.google.com/maps?cid=1088212512153107774,https://www.instagram.com/tla.services/,NA,TLA Services Pty Ltd,,+61 1300 247 552,5,7,hvac_contractor,Australia,24 Longstaff Rd,https://www.tlaservices.com.au/
Fyshwick ACT 2609,,AU,info@mintaircon.com,https://www.facebook.com/mintair/,hvac_contractor,https://www.google.com/maps?cid=1064540624745302343,https://www.instagram.com/mintairconditioning/,NA,Mint Airconditioning & Refrigeration,,+61 2 6280 5812,4.8,57,hvac_contractor,Australia,Unit 1 13/17 Tennant St,https://mintaircon.com/
Oakleigh VIC 3166,,AU,info@frigritehvac.com.au,https://www.facebook.com/frigriteairconditioningptyltd?_rdr,hvac_contractor,https://www.google.com/maps?cid=9270961588187801113,https://www.instagram.com/frigritehvac/,NA,Frigrite Air Conditioning Pty Ltd,,+61 1300 374 474,,,hvac_contractor,Australia,Unit 2/6A Railway Ave,http://frigritehvac.com.au/
Abbotsford VIC 3067,,AU,info@aqueductheating.com.au,,hvac_contractor,https://www.google.com/maps?cid=3263416187914515315,,,Aqueduct Heating Services,,+61 437 197 369,4.9,118,hvac_contractor,Australia,32 Little Turner St,http://aqueductheating.com.au/
Oakleigh South VIC 3167,,AU,rodney@downtownair.com.au,https://www.facebook.com/downtownair,hvac_contractor,https://www.google.com/maps?cid=10141758753447240003,NA,NA,Downtown Air Conditioning Services Pty Ltd,,+61 413 858 395,4.6,8,hvac_contractor,Australia,23/25 Bunney Rd,http://downtownair.com.au/
Crestwood NSW 2620,,AU,enquiries@globalac.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=6386249179958201389,NA,NA,Global Air Conditioning & Heating,,+61 400 213 387,4.7,45,hvac_contractor,Australia,14/37 Lorn Rd,http://www.globalairandheating.com.au/
Burnside Heights VIC 3023,,AU,info.dgtair@gmail.com,NA,hvac_contractor,https://www.google.com/maps?cid=13487330701670056345,https://www.instagram.com/dgt.air/,https://www.linkedin.com/in/dino-tarroza-15734446,DGT Heating and Cooling Services Pty Ltd,,+61 428 079 798,5,83,hvac_contractor,Australia,16 Redbox Cres,https://www.dgtair.com/
Collingwood VIC 3066,,AU,info@ecotechrefrigeration.com.au,,hvac_contractor,https://www.google.com/maps?cid=14168751343158847318,,https://www.linkedin.com/company/ecotech-refrigeration/,EcoTech Refrigeration & Mechanical // Controls,,+61 1300 558 338,5,1,hvac_contractor,Australia,Suite 1.27/450 Smith St,https://ecotechrefrigeration.com.au/
Port Adelaide SA 5015,,AU,adam@bakerairsolutions.com.au,https://www.facebook.com/profile.php?id=61560503622744,hvac_contractor,https://www.google.com/maps?cid=1768969827961535484,NA,NA,Baker Air Solutions,,+61 451 100 802,5,4,hvac_contractor,Australia,28 Liddon Pl,https://bakerairsolutions.com.au/
Ravenhall VIC 3023,,AU,contact@savingenergy.com.au,https://www.facebook.com/share/1JCVGj6kaC/,hvac_contractor,https://www.google.com/maps?cid=11532244784903665127,https://www.instagram.com/saving_energy.au?igsh=bjNnYzRmeW9zdTds,https://www.linkedin.com/company/savingenergy-au/,Saving Energy,,+61 413 385 258,5,1,hvac_contractor,Australia,Unit 1/34 Rockfield Wy,https://savingenergy.com.au/
Mornington TAS 7018,,AU,john@doe.com,https://www.facebook.com/contactgrouptasmania,hvac_contractor,https://www.google.com/maps?cid=6022812121153331659,NA,https://www.linkedin.com/company/contactgrouptas,Masters Contracting PTY Ltd.,,+61 3 6234 6588,4,1,hvac_contractor,Australia,92 Mornington Rd,https://masterscontracting.com.au/
Kogarah NSW 2217,,AU,testingtest463@gmail.com,https://www.facebook.com/profile.php?id=100063569294465&mibextid=LQQJ4d,hvac_contractor,https://www.google.com/maps?cid=17104887914986854258,NA,https://www.linkedin.com/company/gpac-air-conditioning/,GPAC Air Conditioning And Refrigeration,,+61 1300 714 373,,,hvac_contractor,Australia,22 Phillips Rd,https://www.gpacr.com.au/
Berrimah NT 0828,,AU,service@greatnorthernair.com.au,,hvac_contractor,https://www.google.com/maps?cid=12330217133518709494,,,Great Northern Air Conditioning & Mechanical Services,,+61 8 8947 4188,1,1,hvac_contractor,Australia,9 Verrinder Rd,https://www.greatnorthernair.com.au/
Clayton South VIC 3169,,AU,admin@xtracta.com.au,https://www.facebook.com/people/Xtracta-Exhaust-Canopy-Solutions/61557301912535/,hvac_contractor,https://www.google.com/maps?cid=14002450243243340910,https://www.instagram.com/xtractaexhaustcanopysolutions/,NA,Xtractair Low Velocity - Exhaust Canopy Solutions,,+61 457 895 385,,,hvac_contractor,Australia,197 Osborne Ave,https://xtractair.com.au/
Chermside QLD 4032,,AU,info@hp6.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=16933479727532082672,NA,NA,HP6,,+61 1300 476 669,5,6,hvac_contractor,Australia,Unit 11/580 Rode Rd,https://hp6.com.au/
Tullamarine VIC 3043,,AU,info@elecor.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=11665111060489617697,NA,NA,Elecor,,+61 430 171 359,,,hvac_contractor,Australia,3 Dib Ct,https://elecor.com.au/
Seaford VIC 3198,,AU,info@airflowductsystems.com.au,https://www.facebook.com/108182064334010,hvac_contractor,https://www.google.com/maps?cid=4171971941622736990,https://www.instagram.com/airflowductsystems,,Airflow Duct Systems,,+61 420 457 263,5,18,hvac_contractor,Australia,18 Heversham Dr,http://www.airflowductsystems.com.au/
Carrum Downs VIC 3201,,AU,priority1climatesolutions@gmail.com,,hvac_contractor,https://www.google.com/maps?cid=12908664789879500972,,,Priority 1,,+61 429 545 741,4.4,28,hvac_contractor,Australia,Unit 3/2 Silkwood Rise,https://www.priority1climatesolutions.com/
Camberwell VIC 3124,,AU,enquiries@blitzair.com.au,http://www.facebook.com/blitzair,hvac_contractor,https://www.google.com/maps?cid=6288201527854170698,http://www.instagram.com/blitz.air,NA,Blitz Air,,+61 3 7049 9680,3.7,3,hvac_contractor,Australia,982-984 Toorak Rd,http://blitzair.com.au/
Clayton VIC 3168,,AU,info@flashairaustralia.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=15527287191103969149,NA,NA,Flashair Australia,,+61 3 9545 1466,4.7,15,hvac_contractor,Australia,57-59 Henderson Rd,http://www.flashairaustralia.com.au/contact_us_5.html
Narellan NSW 2567,,AU,info@infinityhvac.com.au,https://www.facebook.com/Infinity-HVAC-598940390255757/?fref=ts,hvac_contractor,https://www.google.com/maps?cid=5746898673030501907,https://www.instagram.com/infinity_hvac_au/,https://www.linkedin.com/company/infinity-hvac-services-pty-ltd/,Infinity Hvac Services Pty Ltd,,+61 1300 699 868,3.2,9,hvac_contractor,Australia,14 Bellingham St,http://infinityhvac.com.au/
Mount Waverley VIC 3149,,AU,info@pausco.com.au,https://www.facebook.com/Pausc0/,hvac_contractor,https://www.google.com/maps?cid=6875706608678230300,https://www.instagram.com/pausco_/,NA,Pausco Plant Hire,,+61 433 107 974,4,1,hvac_contractor,Australia,31 Hilton St,http://pausco.com.au/
Mordialloc VIC 3195,,AU,salesnsw@controlworks.com.au,,hvac_contractor,https://www.google.com/maps?cid=11922362777937150431,,https://www.linkedin.com/company/controlworks,Controlworks VIC Pty Ltd,,+61 3 9551 3008,5,1,hvac_contractor,Australia,Unit 11/28/36 Japaddy St,http://www.controlworks.com.au/
Gnangara WA 6077,,AU,service@whiteair.net,NA,hvac_contractor,https://www.google.com/maps?cid=790299072661737155,https://www.instagram.com/whiteair.mechanical.services/,NA,White Air & Mechanical Services Pty Ltd,,+61 8 6305 0248,4,1,hvac_contractor,Australia,Unit 7/10 Boom St,http://whiteair.net/
Pakenham VIC 3810,,AU,sales@rf.net.au,NA,hvac_contractor,https://www.google.com/maps?cid=10493050770191516205,NA,NA,Rapidflow Group,,+61 3 8595 2151,4.9,10,hvac_contractor,Australia,23 Bormar Dr,http://www.rapidflowgroup.com/
Wetherill Park NSW 2164,,AU,info@ecosoul.com.au,https://www.facebook.com/people/Eco-Soul-Australia/61558097078672/,hvac_contractor,https://www.google.com/maps?cid=6121380138804591934,https://www.instagram.com/ecosoulaustralia/?igsh=ZXc3OG1pdWRiMDR3&utm_source=qr,,ecosoul,,+61 3 7044 8025,5,1,hvac_contractor,Australia,48 Bentley St,http://ecosoul.com.au/
Fairfield NSW 2165,,AU,support@airmountaincom.com,https://www.facebook.com/airmountain.hvac,hvac_contractor,https://www.google.com/maps?cid=937391733816417146,https://www.instagram.com/airmountain_hvac_australia/,,Air Mountain Company,,+61 432 072 218,5,8,hvac_contractor,Australia,60 Solo Cres,https://www.airmountaincom.com/home
Fyshwick ACT 2609,,AU,admin@hvaccanberra.com.au,,hvac_contractor,https://www.google.com/maps?cid=7144146797761312977,,,HVAC Canberra Pty Ltd,,+61 2 6280 6920,,,hvac_contractor,Australia,27 Molonglo Mall,http://hvaccanberra.com.au/
Wyee NSW 2259,,AU,richard_matthews_awbs@outlook.com,https://www.facebook.com/wix,hvac_contractor,https://www.google.com/maps?cid=16573653082573304963,NA,https://www.linkedin.com/company/wix-com,Air & Water Balancing Services,,+61 452 263 365,,,hvac_contractor,Australia,19 Pateman Pl,https://www.awbs.online/
Springvale VIC 3171,,AU,info@temproair.com.au,https://www.facebook.com/temprosolutions/,hvac_contractor,https://www.google.com/maps?cid=2922883095407140130,https://www.instagram.com/tempro_services/,NA,Tempro Services,,+61 3 9563 6078,,,hvac_contractor,Australia,5/820 Princes Hwy,https://www.temproair.com.au/
Carrum Downs VIC 3201,,AU,craig@ecoaircon.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=17631707748508821678,NA,NA,RYCO AIR SERVICES,,+61 3 9770 8081,5,2,hvac_contractor,Australia,47 Frankston Gardens Dr,https://www.rycoair.com.au/
Frenchs Forest NSW 2086,,AU,contractfm@outlook.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=1038407400502975108,NA,https://www.linkedin.com/company/contract-facilities-management-pty-ltd/,CFM,,+61 447 309 222,5,1,hvac_contractor,Australia,9 Rabbett St,http://contractfm.com.au/
Crows Nest NSW 2065,,AU,sales@aircomfort.com.au,https://www.facebook.com/Air-Comfort-Co-of-Australia-Pty-Ltd-104508715360985,hvac_contractor,https://www.google.com/maps?cid=10563025519722649541,NA,NA,Air Comfort Co of Australia Pty Ltd,,+61 2 9439 3346,3.1,19,hvac_contractor,Australia,30 Falcon St,https://www.aircomfort.com.au/
Putney NSW 2112,,AU,matt@pixelspread.com,NA,hvac_contractor,https://www.google.com/maps?cid=6077651503293466989,NA,NA,DalTech Air Conditioning,,+61 431 532 151,5,8,hvac_contractor,Australia,23 Parry St,https://daltechairconditioning.com.au/
Sumner QLD 4074,,AU,info@ats-group.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=13493972841387379624,https://www.instagram.com/advancedthermalservicesgroup/,https://www.linkedin.com/company/advancedthermalservicesgroup,Advanced Thermal Services Group Pty Ltd,,,,,hvac_contractor,Australia,Unit 7/14 Spine St,https://ats-group.com.au/
Carole Park QLD 4300,,AU,admin@emsolutions.au,NA,hvac_contractor,https://www.google.com/maps?cid=525143830391334327,NA,NA,Enterprise Mechanical Solutions,,+61 491 200 907,,,hvac_contractor,Australia,80 Mica St,http://emsolutions.au/
Malaga WA 6090,,AU,aas@aust-aircon.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=17491493676824072467,NA,NA,Australian Airconditioning Services,,+61 8 9209 2520,4.2,5,hvac_contractor,Australia,Unit 8/200 Camboon Rd,http://www.aust-aircon.com.au/
Osborne Park WA 6017,,AU,info@airvision.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=7608522111709220846,https://www.instagram.com/av_chillers_data_solutions/,https://www.linkedin.com/company/airvision-pty-ltd,Airvision - chillers | data | solutions,,+61 8 9201 1546,4.8,5,hvac_contractor,Australia,8/52 Frobisher St,http://www.airvision.com.au/
Campbellfield VIC 3061,,AU,accounts@4shc.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=682719710077843669,NA,NA,Four Seasons Heating & Cooling,,+61 3 4443 0557,3.5,8,hvac_contractor,Australia,4A Ari Dr,http://www.4shc.com.au/
Griffin QLD 4503,,AU,info@aushvactechnicalservices.com.au,https://www.facebook.com/AusHVAC,hvac_contractor,https://www.google.com/maps?cid=487141098323765078,https://www.instagram.com/aushvactechnicalservices,NA,Aus HVAC Technical Services,,+61 427 667 705,4,1,hvac_contractor,Australia,3 Prussian St,http://aushvactechnicalservices.com.au/
Taren Point NSW 2229,,AU,kieran@inlinemi.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=4644356147888387407,NA,NA,Inline Mechanical Installations,,+61 2 9538 3839,,,hvac_contractor,Australia,Unit 9/21 Bay Rd,http://www.inlinemi.com.au/
Sheldon QLD 4157,,AU,jason@nyeindustries.com.au,https://www.facebook.com/NyeIndustriesAirConditioning/,hvac_contractor,https://www.google.com/maps?cid=12219278952932797197,,http://www.linkedin.com/company/nye-industries-air-conditioning-&-mechanical-services,Nye Industries Air Conditioning & Mechanical Services,,+61 422 083 735,5,1,hvac_contractor,Australia,Campbell Rd,http://www.nyeindustries.com.au/
Glynde SA 5070,,AU,sales@allseasonsair.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=15652012147750323494,NA,NA,All Seasons Air Conditioning,,+61 8 8337 1624,3.6,28,hvac_contractor,Australia,8 Penna Ave,http://www.allseasonsair.com.au/
Keysborough VIC 3173,,AU,service@cc-air.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=7905401557385797566,NA,NA,Croft Contracting,,+61 3 9796 5721,4.7,3,hvac_contractor,Australia,1/7 Arctic Ct,http://www.croftcontracting.com.au/
Mount Waverley VIC 3149,,AU,sales@dlzgroup.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=15696221403810836076,NA,NA,DLZ Group Pty Ltd,,+61 411 893 680,4.4,8,hvac_contractor,Australia,71 Ricketts Rd,https://www.dlzgroup.com.au/
Sandgate NSW 2304,,AU,admin@extramileservices.com.au,https://www.facebook.com/extramileairandsolar,hvac_contractor,https://www.google.com/maps?cid=7778725456180050839,https://www.instagram.com/extramileairsolar/,NA,Extra Mile Air and Solar,,+61 452 067 902,5,6,hvac_contractor,Australia,Site 7/7 Friesian Cl,https://www.extramileservices.com.au/
Northam WA 6401,,AU,Shoreair@outlook.com,https://www.facebook.com/profile.php?id=61554027052025&mibextid=wwXIfr&mibextid=wwXIfr,hvac_contractor,https://www.google.com/maps?cid=8744346815183916999,,,Shore Refrigeration & Air,,+61 419 425 951,5,2,hvac_contractor,Australia,17 Weld St,https://www.facebook.com/profile.php?id=61554027052025&mibextid=wwXIfr&mibextid=wwXIfr
Winnellie NT 0820,,AU,info@espec.com.au,https://www.facebook.com/PHElectricalDarwin/,hvac_contractor,https://www.google.com/maps?cid=10098965826673223828,NA,https://www.linkedin.com/company/19040520/admin/,ESPEC,,+61 8 8948 1585,5,2,hvac_contractor,Australia,Unit 5/66 Coonawarra Rd,http://www.espec.com.au/
Bulli NSW 2516,,AU,service@airexchange.com.au,https://www.facebook.com/airexchangeappliedcoolingspecialaits/,hvac_contractor,https://www.google.com/maps?cid=156075074901866209,https://www.instagram.com/air_exchange_applied_cooling/,NA,Air Exchange Applied Cooling,,+61 407 502 135,,,hvac_contractor,Australia,Unit 6/177B Princes Hwy,
